a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
santo tomas purahub coban avenida calle,CRI,Costa Rica,San José,CR-SJ,,Calle Blancos,Santo Tomas,,,,0.44,"{'city': 0.42, 'district': 1.0}",[],,
defensor universitario ucm,CHL,Chile,Bíobío,BI,,Concepción,Universitario,,,,0.54,{'district': 1.0},[],,
vila nieva,GTM,Guatemala,,,,Villa Nueva,,,,,0.78,{'city': 0.7},[],,
aposento de melquiades,BRA,Brasil,Río de Janeiro,RJ,,Belford Roxo,Centro,,,,0.7,"{'district': 0.61, 'streets': [0.9]}",[],,
de del camino,ESP,España,Castilla y León,CL,,Monterrubio de Armuña,Mozodiel del Camino,,,,0.99,{'district': 0.65},[],,
montila,BRA,Brasil,Amazonas,AM,,Manaus,Santa Etelvina,,,,1.0,{'streets': [0.9]},[],,
vila de gracia bcn praca,ESP,España,Cataluña,CT,,Barcelona,Vila de Gràcia,,,,0.6,{'district': 1.0},[],,
malagueno de madrid,ESP,España,Comunidad de Madrid,MD,,Getafe,,,,,0.88,"{'streets': [0.9], 'placeName': 0.6}",[],,
la ataraxia del corazon,ESP,España,País Vasco,PV,,Vitoria,San Martín,,,,0.64,"{'county': 0.55, 'streets': [0.73]}",[],,
lover adventurer,USA,Estados Unidos,Texas,TX,,Austin,,,,,0.67,{'streets': [1.0]},[],,
sueno surealista,USA,Estados Unidos,California,CA,,Santa Bárbara,El Sueno,,,,0.33,{'district': 0.71},[],,
far far way,USA,Estados Unidos,Iowa,IA,,Swisher,,,,,1.0,{'streets': [1.0]},[],,
republicana casa,PRT,Portugal,,,,Sousel,Casa Branca,,,,0.87,"{'district': 0.4, 'streets': [0.87]}",[],,
sala de cine,SWE,Suecia,Provincia de Uppsala,C,,,,,,,0.4,{'state': 0.57},[],,
conurbano buenos aires,PHL,Filipinas,Central Visayas,,,Carmen,Buenos Aires,,,,0.55,{'district': 1.0},[],,
amaras la patria,MEX,México,Chiapas,Chis,,La Independencia,La Patria,,,,0.57,{'district': 1.0},[],,
wjsn,IND,India,Rajasthan,RJ,,Nohar Sub-District,12 JSN,,,,0.75,{'district': 0.6},[],,
departamento sivar,COL,Colombia,,,,Pereira,Departamento,,,,0.71,{'district': 1.0},[],,
claros de tirisfal,VEN,Venezuela,Zulia,ZU,,La Cañada de Urdaneta,Los Claros,,,,0.38,{'district': 0.67},[],,
estado de nomada,MEX,México,Oaxaca,Oax,,Oaxaca de Juárez,Estado de Oaxaca,,,,0.71,{'district': 0.71},[],,
feliz optimista,USA,Estados Unidos,Carolina del Norte,NC,,Charlotte,Optimist Park,,,,0.64,{'district': 0.75},[],,
enamorada de corts,ESP,España,Islas Baleares,IB,,Sant Lluís,Binibèquer Nou,,,,0.69,{'streets': [0.58]},[],,
lothlorien media,GBR,Reino Unido,Inglaterra,,,Derby,Littleover,,,,0.67,{'streets': [0.9]},[],,
archer avenue,USA,Estados Unidos,Nueva York,NY,,Jamaica,Jamaica,,,,1.0,{'streets': [1.0]},[],,
argentina al,BRA,Brasil,Río de Janeiro,RJ,,Belford Roxo,Lote XV,,,,1.0,{'streets': [1.0]},[],,
paradoja distopica,BIH,Bosnia y Herzegovina,Republika Srpska,,,Laktasi,Paradija,,,,0.35,{'district': 0.75},[],,
bogota palmira vale,MEX,México,Nuevo León,NL,,General Zuazua,Valle de Santa Elena Sec San Jorge,,,,0.76,"{'streets': [0.9, 0.9]}",[],,
los alcazares,ESP,España,Andalucía,AN,,Sevilla,Santa Cruz,,,,1.0,{'placeName': 1.0},[],,
de la sinrazon,ESP,España,Aragón,AR,,Zaragoza,Casablanca,,,,0.75,{'streets': [0.88]},[],,
bosque desencantado,MEX,México,Jalisco,Jal,,Zapopan,Bosques de San Isidro,,,,0.83,{'streets': [0.97]},[],,
samborondon canarias,ESP,España,Islas Canarias,CN,,Telde,San Borondón,,,,0.84,"{'state': 0.54, 'district': 0.82}",[],,
callepino,MEX,México,México,Edomex,,Tultitlán de Mariano Escobedo,Lázaro Cárdenas,,,,1.0,{'streets': [1.0]},[],,
ciutadela de menorca,ESP,España,Islas Baleares,IB,,Ciutadella de Menorca,,,,,0.83,"{'city': 0.42, 'streets': [0.9]}",[],,
char,MEX,México,México,Edomex,,Chalco,,,,,0.99,{'city': 0.57},[],,
lanzarote murcia,ESP,España,Cataluña,CT,,Sant Vicenç dels Horts,,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
ig thiagofernandez,PRT,Portugal,,,,Penamacor,Benquerença,,,,0.59,"{'streets': [0.9], 'placeName': 0.47}",[],,
los estanques del patriarca,VEN,Venezuela,Zulia,ZU,,Maracaibo,Los Estanques,,,,0.5,{'district': 1.0},[],,
peninsula de yucatan campeche,MEX,México,México,Edomex,,Ecatepec de Morelos,Las Américas,,,,0.69,{'streets': [1.0]},[],,
unitedw united,USA,Estados Unidos,Pennsylvania,PA,,Mt Pleasant,United,,,,0.46,{'district': 1.0},[],,
rinconcito de patria,CUB,Cuba,,,,Guantánamo,Rinconcito,,,,0.56,{'district': 1.0},[],,
concepcion chilan los angel,ESP,España,Andalucía,AN,,Huelva,,,,,0.75,"{'streets': [0.9], 'placeName': 0.8}",[],,
tropico de covadonga,MEX,México,México,Edomex,,Chalco de Díaz Covarrubias,Covadonga,,,,0.5,{'district': 1.0},[],,
la ciudad de la venganza,CUB,Cuba,,,,Ciudad de la Habana,,,,,0.5,{'city': 0.62},[],,
el de la vida,ESP,España,Castilla-La Mancha,CM,,El Carpio de Tajo,,,,,0.8,{'streets': [0.9]},[],,
bario de movera zaragoza,MEX,México,Puebla,Pue,,Piaxtla,Barrio de Zaragoza,,,,0.62,{'district': 0.81},[],,
moclinejo ciudad cultural,MEX,México,Ciudad de México,CMX,,Tlalpan,Cultura Maya,,,,0.3,{'district': 0.64},[],,
ferol gz,FRA,Francia,Países del Loira,PDL,,Mouzeil,Férol,,,,0.71,{'district': 1.0},[],,
albacete barcelona,PHL,Filipinas,Davao Region,,,Davao City,Ula,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
hendaia,ESP,España,País Vasco,PV,,Fuenterrabía,,,,,1.0,{'streets': [0.9]},[],,
siamo quartiere il cuore la,ITA,Italia,Emilia-Romaña,,,Portomaggiore,Quartiere,,,,0.39,{'district': 1.0},[],,
aldea lejana,ESP,España,Castilla-La Mancha,CM,,Aldea en Cabo,,,,,0.68,{'city': 0.68},[],,
bahia de los naranjos,MEX,México,Jalisco,Jal,,Tonalá,de los Naranjos,,,,0.72,{'district': 1.0},[],,
el vale de las uvas,MEX,México,Hidalgo,Hgo,,Tula de Allende,Las Uvas,,,,0.73,"{'district': 1.0, 'streets': [0.43]}",[],,
vila luro bario duro,BRA,Brasil,Bahia,BA,,Lauro de Freitas,Barro Duro,,,,0.41,{'district': 0.78},[],,
terasa hostafrancs,ESP,España,Cataluña,CT,,els Plans de Sió,Hostafrancs,,,,0.65,{'district': 1.0},[],,
blue badlands,CAN,Canadá,Alberta,AB,,Calgary,,,,,0.67,{'streets': [0.9]},[],,
mitad del monte,ESP,España,Comunidad de Madrid,MD,,Boadilla del Monte,,,,,0.69,{'city': 0.56},[],,
escorial el,MEX,México,Nuevo León,NL,,Monterrey,,,,,1.0,{'streets': [1.0]},[],,
sant andreu bcn,ESP,España,Cataluña,CT,,Montferrer i Castellbò,Sant Andreu,,,,0.77,{'district': 1.0},[],,
el girones republica catalana,PER,Perú,Lima,,,El Agustino,Catalina Buendia,,,,0.58,"{'district': 0.4, 'streets': [0.9]}",[],,
