a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
strada provinciale brazil,ITA,Italia,Lombardía,,,Somaglia,,,,,0.74,{'streets': [1.0]},[],,
acola,ESP,España,Galicia,GA,,Viana do Bolo,Fradelo,,,,1.0,{'streets': [0.9]},[],,
sbc strada provinciale brazil,ITA,Italia,Lombardía,,,Somaglia,,,,,0.65,{'streets': [1.0]},[],,
esplanada dos ministerios,BRA,Brasil,Minas Gerais,MG,,Caeté,Antônio dos Santos,,,,0.65,"{'state': 0.54, 'streets': [0.9]}",[],,
ilha de senhora do destero,PRT,Portugal,,,,Penafiel,Póvoa,,,,0.82,{'streets': [0.86]},[],,
us sao paulo bairro,BRA,Brasil,Sao Paulo,SP,,Limeira,Bairro Boa Vista,,,,0.88,"{'district': 0.43, 'streets': [0.9]}",[],,
atibaia strada provinciale brazil,ITA,Italia,Basilicata,,,Maratea,,,,,0.73,"{'state': 0.5, 'streets': [1.0]}",[],,
estrada municipal,PRT,Portugal,,,,Covilhã,,,,,1.0,{'streets': [1.0]},[],,
northern brazil,USA,Estados Unidos,Nueva York,NY,,Great Neck,,,,,0.99,"{'streets': [0.9], 'placeName': 0.5}",[],,
no das maravilhas,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,0.87,{'streets': [0.9]},[],,
nelas delas,VEN,Venezuela,Yaracuy,YA,,Peña,Las Velas,,,,0.6,{'district': 0.7},[],,
ela dela,USA,Estados Unidos,Carolina del Norte,NC,,Bryson City,Ela,,,,0.43,{'district': 1.0},[],,
beorzonte,ROU,Rumanía,,,,Joseni,Borzont,,,,0.78,{'district': 0.95},[],,
brazil strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.74,{'streets': [1.0]},[],,
sao paulo rio de janeiro,PHL,Filipinas,National Capital Region,NCR,,Las Piñas,Talon Tres,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
gadolandia,BRA,Brasil,Sao Paulo,SP,,Guarulhos,Pimentas,,,,0.8,{'streets': [0.75]},[],,
nilbog,EST,Estonia,,,,Rõuge,Nilbõ,,,,0.83,{'district': 0.95},[],,
brasilia brazil washington dc,USA,Estados Unidos,Virginia,VA,,Woodbridge,Dale City,,,,0.69,"{'city': 0.57, 'streets': [0.9]}",[],,
senhora do destero sport clube brazil,PRT,Portugal,,,,Seia,Senhora do Desterro,,,,0.5,{'district': 0.94},[],,
leningrado urs,COL,Colombia,,,,Pereira,Leningrado III,,,,0.69,{'district': 0.69},[],,
ruritania,ZAF,Sudáfrica,Western Cape,,,Ottery East,,,,,0.99,{'streets': [0.9]},[],,
nomade,BRA,Brasil,Minas Gerais,MG,,Contagem,Contagem,,,,1.0,{'streets': [0.9]},[],,
kusterverso,BEL,Bélgica,Flandes,VLG,,Knokke-Heist,Het Zoute,,,,0.82,"{'streets': [0.85], 'placeName': 0.95}",[],,
baea,IDN,Indonesia,,,,Kudus,Bae,,,,0.75,{'district': 0.95},[],,
estado novo bairro,BRA,Brasil,Pernambuco,PE,,Olinda,Bairro Novo,,,,0.38,{'district': 0.6},[],,
sulito,PHL,Filipinas,Soccsksargen,,,Polomolok,Sulit,,,,0.83,{'district': 0.95},[],,
brazil mitolandia,IRL,Irlanda,,,,Swords,Brazil,,,,0.75,"{'country': 0.7, 'district': 1.0}",[],,
strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,1.0,{'streets': [1.0]},[],,
viegas city,PHL,Filipinas,Calabarzon,,,Calamba,,,,,0.9,"{'city': 0.31, 'streets': [0.62]}",[],,
rios argentina,CHL,Chile,Los Ríos,LR,,Valdivia,,,,,0.99,"{'state': 0.57, 'streets': [0.9]}",[],,
macapa apartment,IND,India,Maharashtra,MH,,Mumbai,Borivali East,,,,0.67,{'placeName': 0.72},[],,
worldwide,USA,Estados Unidos,Kentucky,KY,,Hebron,,,,,0.99,{'streets': [0.9]},[],,
prairie brazil,USA,Estados Unidos,Texas,TX,,Bailey's Prairie,,,,,0.88,"{'county': 0.56, 'city': 0.5}",[],,
countries,USA,Estados Unidos,Wisconsin,WI,,"Deforest, Village of",,,,,0.99,{'streets': [0.65]},[],,
melanesia,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,1.0,{'streets': [0.9]},[],,
boarding house brazil,USA,Estados Unidos,Utah,UT,,Helper,,,,,0.68,{'streets': [0.9]},[],,
phily,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Craponne,,,,,1.0,{'streets': [0.9]},[],,
paises de,ESP,España,Islas Baleares,IB,,Artà,,,,,1.0,{'streets': [0.9]},[],,
ursal,USA,Estados Unidos,Indiana,IN,,Greenwood,,,,,0.99,{'streets': [0.9]},[],,
jesus eo dono do,BRA,Brasil,Río Grande del Norte,RN,,Bom Jesus,,,,,0.38,{'city': 0.63},[],,
ceci est passage gloria grove,JAM,Jamaica,,,,St Catherine,Passage Fort,,,,0.52,"{'district': 0.68, 'streets': [0.9]}",[],,
avenida brigadeiro faria lima,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,1.0,{'streets': [1.0]},[],,
seminario domicilio fixo,BRA,Brasil,Parana,PR,,Curitiba,Seminário,,,,0.41,{'district': 1.0},[],,
leningrado,ECU,Ecuador,Loja,,,Loja,,,,,1.0,{'streets': [1.0]},[],,
san paolo brasile,ITA,Italia,Lacio,,,Roma,Pinciano,,,,1.0,{'streets': [0.9]},[],,
brazil strada provinciale sbc,ITA,Italia,Lombardía,,,Somaglia,,,,,0.65,{'streets': [1.0]},[],,
inferno,ITA,Italia,Emilia-Romaña,,,Bolonia,San Vitale,,,,1.0,{'streets': [0.9]},[],,
baixo santa alto gloria,BRA,Brasil,Parana,PR,,Curitiba,Alto da Glória,,,,0.5,{'district': 0.83},[],,
travessa cultura,BRA,Brasil,Rondonia,RO,,Buritis,Buritis,,,,1.0,{'streets': [1.0]},[],,
el paso ciudad juarez,MEX,México,Durango,Dgo,,Lerdo,,,,,0.67,{'streets': [0.64]},[],,
planeta tera,BRA,Brasil,Amazonas,AM,,Manaus,Tarumã-Açu,,,,0.99,{'streets': [0.85]},[],,
sao paulo bairro,BRA,Brasil,Sao Paulo,SP,,Limeira,Bairro Boa Vista,,,,0.99,"{'district': 0.43, 'streets': [0.9]}",[],,
puerto viejo brasil,CHL,Chile,Atacama,AT,,Caldera,Puerto Viejo,,,,0.82,"{'country': 0.7, 'district': 1.0}",[],,
cair paravel,USA,Estados Unidos,Arkansas,AR,,Caddo Gap,,,,,0.99,{'streets': [0.9]},[],,
wonderland,TUR,Turquía,Ankara,,,Ankara,Yunus Emre,,,,1.0,{'placeName': 1.0},[],,
republica federativa dona moca,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,República,,,,0.33,{'district': 1.0},[],,
bostil,ESP,España,Castilla y León,CL,,Villaescusa,,,,,0.67,{'streets': [0.77]},[],,
corinthians,PHL,Filipinas,National Capital Region,NCR,,Caloocan City North,Barangay 177,,,,1.0,{'streets': [1.0]},[],,
estrada municipal casa com sua mae,BRA,Brasil,Sao Paulo,SP,,Aguaí,Aguaí,,,,0.69,{'streets': [0.8]},[],,
holy spirit brazil,PHL,Filipinas,National Capital Region,NCR,,Quezon City,Holy Spirit,,,,0.63,{'district': 1.0},[],,
dos de mayo argentina,ESP,España,Islas Canarias,CN,,Sta. María de Guía de G.C.,La Atalaya,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
azarath,IND,India,Rajasthan,RJ,,Jaipur,Jhotwara,,,,0.86,{'streets': [0.76]},[],,
gragolandia brazil,IRL,Irlanda,,,,Swords,Brazil,,,,0.68,"{'country': 0.64, 'district': 1.0}",[],,
plastic city prairie brazil,USA,Estados Unidos,Wisconsin,WI,,"Pleasant Prairie, Village of",,,,,0.37,{'city': 0.6},[],,
sjc strada provinciale brazil,ITA,Italia,Lombardía,,,Somaglia,,,,,0.65,{'streets': [1.0]},[],,
big river south brazil,CAN,Canadá,Manitoba,MB,,Winnipeg,River Park South,,,,0.53,{'district': 0.83},[],,
secret garden,THA,Tailandia,,,,Ko Samui,Mae Nam,,,,1.0,{'streets': [1.0]},[],,
arkham,RUS,Rusia,Distrito Federal del Ural,,,Bredinskiy rayon,Arkaim,,,,1.0,{'placeName': 1.0},[],,
corinthians city,PHL,Filipinas,National Capital Region,NCR,,Caloocan City North,Barangay 177,,,,0.73,{'streets': [1.0]},[],,
crief,GBR,Reino Unido,Escocia,,,Perth,Perth,,,,0.99,{'streets': [0.73]},[],,
christmas city brazil,USA,Estados Unidos,Utah,UT,,Provo,Christmas City,,,,0.68,{'district': 1.0},[],,
tao tao distante,BRA,Brasil,Sao Paulo,SP,,Taubaté,,,,,0.32,{'city': 0.64},[],,
grande mato grosso do sul,BRA,Brasil,Mato Grosso do Sul,MS,,Campo Grande,Rita Vieira,,,,0.99,"{'city': 0.55, 'streets': [0.9]}",[],,
joinvile,BRA,Brasil,Río Grande del Sur,RS,,Novo Hamburgo,Ouro Branco,,,,1.0,{'streets': [0.9]},[],,
casa do chapeu,PRT,Portugal,,,,Coruche,Coruche,,,,0.67,{'streets': [0.59]},[],,
matrix,USA,Estados Unidos,California,CA,,San José,,,,,0.99,{'streets': [0.9]},[],,
bomtown,USA,Estados Unidos,Texas,TX,,Laredo,,,,,0.99,{'streets': [0.77]},[],,
velaris,USA,Estados Unidos,Nueva Jersey,NJ,,Jamesburg,,,,,0.99,{'streets': [0.9]},[],,
fau ufrj,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Le Fau,,,,,0.43,{'city': 0.6},[],,
de cache,PRT,Portugal,,,,Mondim de Basto,Alto de Cache,,,,0.99,{'district': 0.64},[],,
sampa zona,AGO,Angola,,,,Samba,Futungo de Belas,,,,0.78,"{'city': 0.6, 'placeName': 0.57}",[],,
disneylandia,USA,Estados Unidos,California,CA,,Anaheim,Disneyland,,,,1.0,{'placeName': 1.0},[],,
mato groso,ARG,Argentina,Misiones,MN,,Jardín América,,,,,1.0,{'streets': [1.0]},[],,
hoth,USA,Estados Unidos,Missouri,MO,,Bucyrus,,,,,0.99,{'streets': [0.9]},[],,
inferno de almas perdidas,USA,Estados Unidos,Texas,TX,,Friendswood,Almas Peridas,,,,0.55,{'district': 0.99},[],,
cond vivendas dona bara,BRA,Brasil,Sao Paulo,SP,,São José do Rio Preto,Vivendas,,,,0.55,"{'country': 0.5, 'district': 1.0}",[],,
escola politecnica dona usp,PRT,Portugal,,,,Lisboa,Lisboa,,,,0.71,{'streets': [0.9]},[],,
moro onde voce espalha covid,ESP,España,Principado de Asturias,AS,,Piloña,El Moro,,,,0.38,"{'country': 0.71, 'district': 0.67}",[],,
hogwarts,USA,Estados Unidos,California,CA,,Petaluma,,,,,0.99,{'streets': [0.9]},[],,
pripyat brazil,UKR,Ucrania,,,,Ivankivskyi raion,Prypiat,,,,0.54,{'district': 1.0},[],,
tatoine,USA,Estados Unidos,Oregón,OR,,Boardman,,,,,0.86,{'streets': [0.9]},[],,
ityrapina pedra pelada,PRT,Portugal,,,,Braga,Pelada,,,,0.3,{'district': 1.0},[],,
brasil hope,BRA,Brasil,Río Grande del Sur,RS,,Porto Alegre,Cristo Redentor,,,,0.99,"{'streets': [0.85], 'placeName': 1.0}",[],,
irian jaya,IDN,Indonesia,JABODETABEK,,,Depok,Pancoran Mas,,,,1.0,{'streets': [0.9]},[],,
estrada municipal outro patamar,BRA,Brasil,Sao Paulo,SP,,São José dos Campos,São José dos Campos,,,,0.71,{'streets': [0.8]},[],,
baronia dona pisadinha,BRA,Brasil,Sao Paulo,SP,,Barretos,Baroni,,,,0.3,{'district': 0.95},[],,
valhala,USA,Estados Unidos,Massachusetts,MA,,North Billerica,,,,,1.0,{'streets': [1.0]},[],,
estrada municipal busca de um amor,PRT,Portugal,,,,Lajes das Flores,Morros,,,,0.66,"{'district': 0.5, 'streets': [0.82]}",[],,
itajai sport clube,BRA,Brasil,Minas Gerais,MG,,Belo Horizonte,Sport Club,,,,0.56,{'district': 0.95},[],,
mineirinha no,BRA,Brasil,Río Grande del Sur,RS,,Balneário Pinhal,Balneário Pinhal,,,,0.83,{'streets': [0.9]},[],,
viva venezuela,VEN,Venezuela,Bolívar,BO,,Caroní,,,,,0.92,{'streets': [0.9]},[],,
peruibe strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.71,{'streets': [1.0]},[],,
venezuela lapatria grande,BRA,Brasil,Sao Paulo,SP,,Praia Grande,Guilhermina,,,,0.72,"{'city': 0.5, 'streets': [0.9]}",[],,
inferninho de peruibe,BRA,Brasil,Río de Janeiro,RJ,,Magé,Inferninho,,,,0.53,{'district': 1.0},[],,
esquerda,ESP,España,Cataluña,CT,,Roda de Ter,,,,,1.0,{'streets': [0.9]},[],,
de voce,CAN,Canadá,Quebec,QC,,Morin-Heights,,,,,0.67,{'streets': [0.9]},[],,
itapua paraguay,PRY,Paraguay,,,,Fram,San Francisco,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
ciudad,ESP,España,Castilla-La Mancha,CM,,Ciudad Real,,,,,0.99,{'city': 0.6},[],,
insta,USA,Estados Unidos,Massachusetts,MA,,Worcester,Institute Park,,,,0.99,{'district': 0.62},[],,
baia dos reis,PRT,Portugal,,,,Loures,Casal dos Reis,,,,0.73,{'district': 0.67},[],,
elfhame,MKD,Macedonia del Norte,,,,Debar,Hame,,,,0.57,{'district': 0.95},[],,
estrada municipal salvador,BRA,Brasil,Sao Paulo,SP,,Campos do Jordão,,,,,0.99,"{'streets': [1.0, 0.9]}",[],,
cidade dona parahyba,BRA,Brasil,Río de Janeiro,RJ,,Río de Janeiro,Cidade Nova,,,,0.33,{'district': 0.6},[],,
novayork salvador,BRA,Brasil,Bahia,BA,,Mucuri,,,,,0.99,"{'streets': [0.9], 'placeName': 0.62}",[],,
banaquistao,KAZ,Kazajistán,,,,,,,,,0.73,{'country': 0.73},[],,
historia ufrj,PHL,Filipinas,Ilocos Region,,,Mangatarem,Historia,,,,0.67,{'district': 1.0},[],,
ao vivo estrada municipal salvador,BRA,Brasil,Río Grande del Sur,RS,,Salvador do Sul,Salvador do Sul,,,,0.79,"{'city': 0.62, 'streets': [0.63]}",[],,
corintios,MEX,México,Oaxaca,Oax,,Santa Cruz Amilpas,Fracc Infonavit Santa Cruz Amilpas,,,,1.0,{'streets': [1.0]},[],,
numero rio grande,BRA,Brasil,Río Grande del Sur,RS,,São Leopoldo,Arroio da Manteiga,,,,0.99,"{'state': 0.64, 'streets': [0.9]}",[],,
guaianazes zona leste,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,Guaianases,,,,0.68,"{'district': 0.8, 'placeName': 0.63}",[],,
el internado laguna negra,COL,Colombia,,,,Paz de Ariporo,Laguna Negra,,,,0.5,{'district': 1.0},[],,
do brasil,PRT,Portugal,,,,Vila Nova de Famalicão,,,,,1.0,{'streets': [0.9]},[],,
cidade do galo minas gerais,BRA,Brasil,Río Grande del Sur,RS,,Ivoti,Cidade Nova,,,,0.74,"{'district': 0.55, 'streets': [0.9]}",[],,
middle earth,USA,Estados Unidos,Minnesota,MN,,Good Thunder,,,,,0.86,"{'county': 0.39, 'streets': [0.9]}",[],,
far far away,USA,Estados Unidos,Iowa,IA,,Swisher,,,,,0.9,{'streets': [1.0]},[],,
osasco strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.74,{'streets': [1.0]},[],,
pavuna chiraq,BRA,Brasil,Río de Janeiro,RJ,,Río de Janeiro,Pavuna,,,,0.5,{'district': 1.0},[],,
salvador dortmund,IND,India,Goa,GA,,Bardez,Salvador do Mundo,,,,0.87,{'district': 0.88},[],,
helvile,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Guilherand-Granges,,,,,0.86,{'streets': [0.9]},[],,
ceu ao reves,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Samoëns,Revé,,,,0.4,{'district': 0.95},[],,
setor sul gyn,BRA,Brasil,Minas Gerais,MG,,Ituiutaba,Setor Sul,,,,0.73,{'district': 1.0},[],,
ridijane,HRV,Croacia,,,,Biskupija,Riđane,,,,0.87,{'district': 0.99},[],,
moving,USA,Estados Unidos,Ohio,OH,,Mentor,,,,,0.99,{'streets': [0.9]},[],,
virando lata,FRA,Francia,Occitania,OCC,,Uzer,Lata,,,,0.36,{'district': 1.0},[],,
libertad pensamiento critico,MEX,México,Zacatecas,Zac,,Guadalupe,Fracc Ojo de Agua de La Palma,,,,0.73,{'streets': [0.9]},[],,
cidade desespero,VEN,Venezuela,Zulia,ZU,,Maracaibo,Desespero,,,,0.6,{'district': 1.0},[],,
maconha,USA,Estados Unidos,Montana,MT,,Billings,,,,,0.86,{'streets': [0.9]},[],,
republica dos generais,COG,República del Congo,,,,,,,,,0.55,{'country': 0.69},[],,
camboriu sport clube,BRA,Brasil,Minas Gerais,MG,,Belo Horizonte,Sport Club,,,,0.5,{'district': 0.95},[],,
plutao,BRA,Brasil,Sao Paulo,SP,,Osasco,,,,,1.0,{'streets': [0.9]},[],,
tupi belo horizonte,BRA,Brasil,Bahia,BA,,Lauro de Freitas,Belo Horizonte,,,,0.76,{'district': 1.0},[],,
playa grande brasil,ESP,España,Andalucía,AN,,Las Gabias,Gabia La Grande,,,,0.73,"{'district': 0.5, 'streets': [0.9]}",[],,
viaduto do cha no,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,0.86,{'streets': [1.0]},[],,
faroups,SWE,Suecia,Provincia de Jamtland,Z,,Bruksvallarna,,,,,0.86,{'streets': [0.9]},[],,
tera redonda,USA,Estados Unidos,California,CA,,Bradley,,,,,0.99,{'streets': [0.92]},[],,
moro na cidade de paranagua praca,CUB,Cuba,,,,Ciudad de la Habana,,,,,0.36,{'city': 0.66},[],,
no fundo do,BRA,Brasil,Sergipe,SE,,Macambira,Macambira,,,,1.0,{'streets': [0.62]},[],,
dona lua,BRA,Brasil,Minas Gerais,MG,,Belo Horizonte,Dona Clara,,,,0.86,{'district': 0.67},[],,
bunker estrada municipal sao bernardo,BRA,Brasil,Sao Paulo,SP,,Jacareí,,,,,0.82,"{'streets': [1.0, 0.0, 0.9]}",[],,
na capital do emirado tucano,PRT,Portugal,,,,Ponte de Lima,Quinta do Eirado,,,,0.42,{'district': 0.86},[],,
baretos brasil,PRT,Portugal,,,,Barcelos,Brasil,,,,0.85,"{'city': 0.62, 'district': 1.0}",[],,
na rave,IND,India,Karnataka,KA,,Hosanagara,Rave,,,,0.67,{'district': 1.0},[],,
darklands,GBR,Reino Unido,Inglaterra,,,Swadlincote,Swadlincote,,,,0.99,{'streets': [0.9]},[],,
abc strada provinciale lula,ITA,Italia,Cerdeña,,,Irgoli,,,,,0.87,{'streets': [0.78]},[],,
avenida paulista,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,,,,,1.0,{'streets': [1.0]},[],,
infp,GTM,Guatemala,,,,Nueva Concepción,Info,,,,0.75,{'district': 0.75},[],,
neverland,USA,Estados Unidos,Ohio,OH,,Powell,,,,,0.99,{'streets': [0.9]},[],,
partes,ESP,España,Islas Canarias,CN,,Candelaria,Igueste,,,,1.0,{'streets': [0.9]},[],,
lagos brasil,CHL,Chile,Los Ríos,LR,,Los Lagos,Los Lagos,,,,0.99,"{'city': 0.63, 'streets': [0.9]}",[],,
estrada municipal um de,BRA,Brasil,Río Grande del Sur,RS,,Parobé,,,,,0.9,{'streets': [1.0]},[],,
cimoreli,USA,Estados Unidos,Nueva York,NY,,New Windsor,,,,,0.99,{'streets': [0.79]},[],,
no planeta tera,BRA,Brasil,Amazonas,AM,,Manaus,Tarumã-Açu,,,,0.85,{'streets': [0.85]},[],,
hel de janeiro,ITA,Italia,Sicilia,,,Mazara del Vallo,,,,,0.75,{'streets': [0.7]},[],,
picos poligono industrial,ESP,España,Galicia,GA,,Bergondo,Polígono Industrial (Lubre),,,,0.78,{'district': 0.78},[],,
baranquila,ZAF,Sudáfrica,Gauteng,,,Honeydew Ridge,,,,,1.0,{'streets': [1.0]},[],,
cidade maravilhosa,BRA,Brasil,Parana,PR,,Curitiba,Sítio Cercado,,,,0.85,{'streets': [0.87]},[],,
rock rol,USA,Estados Unidos,Ohio,OH,,Cleveland,,,,,0.99,{'streets': [0.78]},[],,
la cia,SAU,Arabia Saudita,,,,La Meca,,,,,0.8,{'city': 0.66},[],,
palacio das nacoes genebra,BRA,Brasil,Santa Catarina,SC,,Balneário Camboriú,Das Nações,,,,0.39,{'district': 1.0},[],,
trololandia,BRA,Brasil,Sao Paulo,SP,,Caraguatatuba,Travessão,,,,0.73,{'streets': [0.75]},[],,
rio ribeirao branco,PRT,Portugal,,,,Lousã,Ribeiro Branco,,,,0.76,{'district': 0.99},[],,
oiapoque ao chui,NLD,Holanda,Brabante Septentrional,NB,,Oirschot,,,,,0.36,{'city': 0.55},[],,
de caldas minas gerais,BRA,Brasil,Minas Gerais,MG,,Poços de Caldas,Região Urbana Homogênea IX,,,,0.99,"{'city': 0.62, 'streets': [0.9]}",[],,
bh strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.89,{'streets': [1.0]},[],,
hanker,DEU,Alemania,Renania Septentrional-Westfalia,NW,,Kreuztal,Eichen,,,,0.99,{'streets': [0.9]},[],,
sargatanas,ESP,España,Aragón,AR,,Samper de Calanda,,,,,0.99,{'streets': [0.84]},[],,
poa strada provinciale,ITA,Italia,Campania,,,Roscigno,,,,,0.85,{'streets': [1.0]},[],,
de novembro de,PRT,Portugal,,,,Oporto,,,,,1.0,{'streets': [0.78]},[],,
jotunheim,NOR,Noruega,Innlandet,,,Skåbu,,,,,0.99,{'streets': [0.9]},[],,
suzano strada provinciale,ITA,Italia,Trentino-Alto Adigio,,,Appiano sulla Strada del Vino,,,,,0.89,"{'county': 0.5, 'streets': [0.66]}",[],,
parvonia,USA,Estados Unidos,Ohio,OH,,Mansfield,Pavonia,,,,0.87,{'district': 0.99},[],,
capital strada provinciale,ITA,Italia,Lombardía,,,Somaglia,,,,,0.71,{'streets': [1.0]},[],,
ocoe flat,AUS,Australia,South Australia,SA,,Ob Flat,,,,,0.5,{'city': 0.62},[],,
caixa postal cep,ESP,España,Cataluña,CT,,Torrebesses,,,,,0.64,"{'streets': [0.73], 'placeName': 0.71}",[],,
cuzin de minas,BRA,Brasil,Minas Gerais,MG,,Santa Cruz de Minas,,,,,0.79,{'city': 0.59},[],,
lendo carie,ITA,Italia,Umbría,,,Foligno,Cariè,,,,0.5,{'district': 1.0},[],,
el coahuila,MEX,México,Nayarit,Nay,,Villa Hidalgo (El Nuevo),,,,,0.8,{'streets': [1.0]},[],,
recanto dos nefelibatas,BRA,Brasil,Sao Paulo,SP,,Caraguatatuba,Recanto dos Vintes,,,,0.57,{'district': 0.7},[],,
joao pesoa,PRT,Portugal,,,,Peso da Régua,Peso da Régua,,,,0.99,"{'city': 0.45, 'streets': [0.9]}",[],,
estrada municipal percurso,PRT,Portugal,,,,Vila Nova de Famalicão,,,,,0.67,{'streets': [0.9]},[],,
boemia,BRA,Brasil,Minas Gerais,MG,,Belo Horizonte,,,,,1.0,{'streets': [0.9]},[],,
colonia las minitas edificio pm,MEX,México,Sonora,Son,,Hermosillo,Las Minitas,,,,0.37,{'district': 1.0},[],,
abandonado deus,MEX,México,México,Edomex,,Nezahualcóyotl,,,,,0.71,{'streets': [0.9]},[],,
tiete strada provinciale,ITA,Italia,Trentino-Alto Adigio,,,Caldes,,,,,0.95,"{'county': 0.66, 'streets': [1.0]}",[],,
talhada padre,BRA,Brasil,Pernambuco,PE,,Serra Talhada,,,,,0.99,"{'city': 0.58, 'streets': [0.6]}",[],,
kwangya,COD,República Democrática del Congo,Kwilu,,,Gungu,Kwanga,,,,0.86,{'district': 0.99},[],,
naotim teresa,COL,Colombia,,,,Arboleda,Teresa,,,,0.5,{'district': 1.0},[],,
radio gaucha poa,BRA,Brasil,Río Grande del Sur,RS,,Porto Alegre,Santa Tereza,,,,0.79,{'streets': [0.78]},[],,
minas uai,PRT,Portugal,,,,Barcelos,Minas,,,,0.63,{'district': 1.0},[],,
kage bunshin,RUS,Rusia,Distrito Federal del Sur,,,Sarpinskiy rayon,Shin,,,,0.36,{'district': 0.95},[],,
schroeder sport clube,BRA,Brasil,Minas Gerais,MG,,Belo Horizonte,Sport Club,,,,0.47,{'district': 0.95},[],,
bangtan tvd,THA,Tailandia,,,,Hang Chat,Wiang Tan,,,,0.6,{'district': 0.75},[],,
baixada santista sao paulo,BRA,Brasil,Sao Paulo,SP,,Mongaguá,Vera Cruz,,,,1.0,"{'streets': [0.9], 'placeName': 1.0}",[],,
minha casa,BRA,Brasil,Pará,PA,,Capanema,Capanema,,,,1.0,{'streets': [0.72]},[],,
la acola,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Acula,,,,,0.43,{'city': 0.6},[],,
kachowl pleasebowie,IND,India,Gujarat,GJ,,Olpad,Kachol,,,,0.33,{'district': 0.99},[],,
ele dele strada provinciale,ITA,Italia,Emilia-Romaña,,,Ponte dell'Olio,,,,,0.71,{'streets': [1.0]},[],,
youngk close whein,GBR,Reino Unido,Inglaterra,,,Stoke-on-Trent,Rough Close,,,,0.44,{'district': 0.65},[],,
rio de janeiro sao paulo,PHL,Filipinas,National Capital Region,NCR,,Las Piñas,Talon Tres,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
palmas torre,ESP,España,Islas Canarias,CN,,Teror,,,,,0.99,"{'county': 0.67, 'streets': [0.9]}",[],,
heretostay,USA,Estados Unidos,Luisiana,LA,,Dry Prong,Stay,,,,0.4,{'district': 0.95},[],,
westview new reality,USA,Estados Unidos,Nueva York,NY,,Dansville,Westview,,,,0.44,{'district': 1.0},[],,
international waters,GBR,Reino Unido,Inglaterra,,,York,Clifton,,,,0.95,"{'streets': [0.85], 'placeName': 0.57}",[],,
rio de jane,BRA,Brasil,Río de Janeiro,RJ,,Nova Iguaçu,,,,,0.83,"{'state': 0.29, 'streets': [0.9]}",[],,
cidadao do,PRT,Portugal,,,,Braga,Moinhos-Priscos,,,,1.0,{'streets': [0.9]},[],,
unolandia,BRA,Brasil,Sao Paulo,SP,,Analândia,,,,,0.67,{'city': 0.67},[],,
greys,USA,Estados Unidos,California,CA,,Oakhurst,,,,,1.0,{'streets': [1.0]},[],,
santa louva,LCA,Santa Lucía,,,,,,,,,0.7,{'country': 0.7},[],,
segue voce,MLI,Malí,,,,Bankass,Ségué,,,,0.56,{'district': 1.0},[],,
international,USA,Estados Unidos,Minnesota,MN,,International Falls,,,,,0.99,{'city': 0.72},[],,
dery,FRA,Francia,Países del Loira,PDL,,Les Bois d'Anjou,Le Déry,,,,0.99,{'district': 0.67},[],,
perdida na cita dela,PRY,Paraguay,,,,Ciudad del Este,,,,,0.41,{'city': 0.58},[],,
demimonde,FRA,Francia,Borgoña-Franco-Condado,BFC,,Varennes-Saint-Sauveur,Bois de Monde,,,,0.78,{'district': 0.64},[],,
wisteria lane,CAN,Canadá,Ontario,ON,,Haldimand,York,,,,1.0,{'streets': [1.0]},[],,
edron,NZL,Nueva Zelanda,Canterbury,,,Christchurch,Redwood,,,,0.99,{'streets': [0.9]},[],,
snta maria de belem do grao para,BRA,Brasil,Pará,PA,,Castanhal,Castanhal,,,,0.88,"{'streets': [0.9, 0.9]}",[],,
ming,USA,Estados Unidos,Wyoming,WY,,,,,,,0.99,{'state': 0.57},[],,
prythian,CAN,Canadá,Columbia Británica,BC,,Nanaimo,,,,,0.87,{'streets': [0.9]},[],,
arenacorinthians,BRA,Brasil,Sao Paulo,SP,,Sao Paulo,Itaquera,,,,1.0,{'placeName': 1.0},[],,
vormir,NLD,Holanda,Groninga,GR,,Delfzijl,,,,,0.67,{'streets': [0.67]},[],,
